Team, Efg_pct, Turnover_PCT, orb_pct, ft_rate, opp_Team, opp_Efg_pct, opp_Turnover_PCT, opp_orb_pct, opp_ft_rate, class
POR, .484, 10.8, 28.3, .074, ATL,  .506,  11.8,  21.3,  .184,  loss
BOS,  .576,  13.3,  22.2,  .129, TOR, .620, 12.6, 26.5, .145,  loss
TOR, .620, 12.6, 26.5, .145, BOS,  .576,  13.3,  22.2,  .129,  win
MIA,  .537,  20.9,  23.3,  .206, WAS, .552, 9.8, 31.4, .128,  loss
WAS, .552, 9.8, 31.4, .128, MIA,  .537,  20.9,  23.3,  .206,  win
LAC,  .488,  8.6,  19.5,  .300, CLE, .584, 12.2, 34.1, .217,  loss
CLE, .584, 12.2, 34.1, .217, LAC,  .488,  8.6,  19.5,  .300,  win
MEM,  .542,  12.4,  11.8,  .333, DEN, .506, 9.9, 23.3, .250,  win
DEN, .506, 9.9, 23.3, .250, MEM,  .542,  12.4,  11.8,  .333,  loss
DET,  .456,  13.1,  35.3,  .176, NOP, .564, 8.7, 29.7, .209,  loss
NOP, .564, 8.7, 29.7, .209, DET,  .456,  13.1,  35.3,  .176,  win
SAS,  .541,  7.5,  22.7,  .279, PHO, .432, 12.5, 21.4, .235,  win
PHO, .432, 12.5, 21.4, .235, SAS,  .541,  7.5,  22.7,  .279,  loss
ATL,  .464,  17.3,  15.2,  .119, SAC, .397, 15.6, 32.7, .196,  loss
SAC, .397, 15.6, 32.7, .196, ATL,  .464,  17.3,  15.2,  .119,  win
CHI,  .444,  16.6,  33.3,  .247, BOS, .490, 10.2, 31.4, .167,  loss
BOS, .490, 10.2, 31.4, .167, CHI,  .444,  16.6,  33.3,  .247,  win
UTA,  .633,  14.6,  33.3,  .173, BRK, .480, 11.7, 16.2, .187,  win
BRK, .480, 11.7, 16.2, .187, UTA,  .633,  14.6,  33.3,  .173,  loss
OKC,  .538,  12.5,  39.5,  .121, DAL, .517, 7.8, 18.9, .184,  win
DAL, .517, 7.8, 18.9, .184, OKC,  .538,  12.5,  39.5,  .121,  loss
IND,  .479,  10.8,  29.4,  .200, GSW, .556, 14.4, 32.6, .244,  loss
GSW, .556, 14.4, 32.6, .244, IND,  .479,  10.8,  29.4,  .200,  win
MIL,  .476,  13.7,  34.1,  .200, HOU, .484, 9.8, 30.6, .117,  loss
HOU, .484, 9.8, 30.6, .117, MIL,  .476,  13.7,  34.1,  .200,  win
SAS,  .571,  6.2,  17.5,  .129, LAL, .488, 10.7, 30.0, .155,  win
LAL, .488, 10.7, 30.0, .155, SAS,  .571,  6.2,  17.5,  .129,  loss
LAC,  .651,  9.4,  9.1,  .224, NYK, .412, 15.3, 26.7, .212,  win
NYK, .412, 15.3, 26.7, .212, LAC,  .651,  9.4,  9.1,  .224,  loss
CHO,  .495,  7.5,  25.5,  .198, ORL, .555, 16.1, 17.1, .165,  win
ORL, .555, 16.1, 17.1, .165, CHO,  .495,  7.5,  25.5,  .198,  loss
MIA,  .432,  11.9,  28.6,  .136, TOR, .553, 12.5, 17.6, .240,  loss
TOR, .553, 12.5, 17.6, .240, MIA,  .432,  11.9,  28.6,  .136,  win
NYK,  .422,  13.3,  17.4,  .247, CHO, .396, 10.1, 20.4, .390,  loss
CHO, .396, 10.1, 20.4, .390, NYK,  .422,  13.3,  17.4,  .247,  win
CHI,  .477,  7.0,  28.9,  .149, CLE, .394, 3.7, 28.6, .096,  win
CLE, .394, 3.7, 28.6, .096, CHI,  .477,  7.0,  28.9,  .149,  loss
DET,  .542,  14.8,  27.5,  .119, DEN, .513, 8.1, 7.0, .308,  loss
DEN, .513, 8.1, 7.0, .308, DET,  .542,  14.8,  27.5,  .119,  win
MEM,  .525,  12.8,  25.0,  .228, MIN, .537, 15.2, 25.0, .485,  loss
MIN, .537, 15.2, 25.0, .485, MEM,  .525,  12.8,  25.0,  .228,  win
MIL,  .568,  18.0,  17.1,  .203, NOP, .548, 7.3, 24.5, .138,  loss
NOP, .548, 7.3, 24.5, .138, MIL,  .568,  18.0,  17.1,  .203,  win
ATL,  .476,  14.8,  22.9,  .179, PHO, .459, 15.0, 31.9, .235,  loss
PHO, .459, 15.0, 31.9, .235, ATL,  .476,  14.8,  22.9,  .179,  win
LAL,  .543,  17.8,  12.5,  .406, POR, .559, 7.2, 35.0, .183,  loss
POR, .559, 7.2, 35.0, .183, LAL,  .543,  17.8,  12.5,  .406,  win
IND,  .459,  9.3,  18.8,  .209, SAC, .476, 12.2, 28.9, .318,  loss
SAC, .476, 12.2, 28.9, .318, IND,  .459,  9.3,  18.8,  .209,  win
OKC,  .505,  12.1,  31.1,  .129, BRK, .521, 9.5, 36.0, .191,  loss
BRK, .521, 9.5, 36.0, .191, OKC,  .505,  12.1,  31.1,  .129,  win
DAL,  .551,  13.6,  20.5,  .215, HOU, .567, 6.7, 24.3, .157,  loss
HOU, .567, 6.7, 24.3, .157, DAL,  .551,  13.6,  20.5,  .215,  win
BOS,  .500,  13.2,  30.6,  .155, PHI, .438, 19.0, 26.5, .157,  win
PHI, .438, 19.0, 26.5, .157, BOS,  .500,  13.2,  30.6,  .155,  loss
LAC,  .500,  12.7,  16.3,  .237, TOR, .566, 13.7, 22.9, .217,  loss
TOR, .566, 13.7, 22.9, .217, LAC,  .500,  12.7,  16.3,  .237,  win
MIA,  .475,  11.1,  14.0,  .148, CHI, .426, 12.2, 23.1, .102,  win
CHI, .426, 12.2, 23.1, .102, MIA,  .475,  11.1,  14.0,  .148,  loss
MIN,  .512,  9.6,  20.5,  .250, CLE, .567, 13.3, 28.6, .146,  loss
CLE, .567, 13.3, 28.6, .146, MIN,  .512,  9.6,  20.5,  .250,  win
ATL,  .552,  12.6,  24.4,  .279, DEN, .429, 13.0, 27.3, .393,  win
DEN, .429, 13.0, 27.3, .393, ATL,  .552,  12.6,  24.4,  .279,  loss
SAS,  .453,  22.2,  20.5,  .311, GSW, .582, 17.9, 25.6, .247,  loss
GSW, .582, 17.9, 25.6, .247, SAS,  .453,  22.2,  20.5,  .311,  win
ORL,  .523,  17.1,  18.2,  .140, MEM, .460, 8.3, 32.1, .160,  loss
MEM, .460, 8.3, 32.1, .160, ORL,  .523,  17.1,  18.2,  .140,  win
HOU,  .594,  12.7,  17.1,  .213, NOP, .533, 10.5, 34.0, .154,  win
NOP, .533, 10.5, 34.0, .154, HOU,  .594,  12.7,  17.1,  .213,  loss
CHO,  .491,  6.9,  25.4,  .191, SAC, .566, 17.3, 23.1, .275,  win
SAC, .566, 17.3, 23.1, .275, CHO,  .491,  6.9,  25.4,  .191,  loss
DET,  .527,  10.0,  15.9,  .213, UTA, .453, 12.3, 25.5, .176,  win
UTA, .453, 12.3, 25.5, .176, DET,  .527,  10.0,  15.9,  .213,  loss
BOS,  .539,  9.1,  17.1,  .211, WAS, .473, 18.5, 12.2, .267,  win
WAS, .473, 18.5, 12.2, .267, BOS,  .539,  9.1,  17.1,  .211,  loss
MIA,  .560,  12.1,  14.7,  .108, BRK, .570, 16.5, 8.6, .239,  win
BRK, .570, 16.5, 8.6, .239, MIA,  .560,  12.1,  14.7,  .108,  loss
LAC,  .506,  14.5,  20.0,  .154, IND, .452, 15.4, 25.5, .169,  win
IND, .452, 15.4, 25.5, .169, LAC,  .506,  14.5,  20.0,  .154,  loss
DAL,  .474,  6.4,  11.4,  .263, LAL, .453, 12.2, 21.1, .311,  win
LAL, .453, 12.2, 21.1, .311, DAL,  .474,  6.4,  11.4,  .263,  loss
ORL,  .494,  10.6,  26.1,  .263, MIL, .526, 11.7, 28.9, .338,  loss
MIL, .526, 11.7, 28.9, .338, ORL,  .494,  10.6,  26.1,  .263,  win
OKC,  .520,  10.4,  32.7,  .253, NYK, .521, 7.7, 17.3, .242,  win
NYK, .521, 7.7, 17.3, .242, OKC,  .520,  10.4,  32.7,  .253,  loss
PHO,  .506,  15.1,  23.3,  .229, PHI, .549, 10.2, 18.6, .296,  loss
PHI, .549, 10.2, 18.6, .296, PHO,  .506,  15.1,  23.3,  .229,  win
SAC,  .459,  11.5,  20.8,  .209, POR, .539, 10.9, 22.2, .167,  loss
POR, .539, 10.9, 22.2, .167, SAC,  .459,  11.5,  20.8,  .209,  win
WAS,  .436,  10.9,  15.9,  .269, TOR, .513, 13.9, 28.2, .316,  loss
TOR, .513, 13.9, 28.2, .316, WAS,  .436,  10.9,  15.9,  .269,  win
LAC,  .418,  10.5,  18.0,  .165, ATL, .481, 20.5, 17.8, .089,  win
ATL, .481, 20.5, 17.8, .089, LAC,  .418,  10.5,  18.0,  .165,  loss
DEN,  .470,  16.9,  29.2,  .286, BOS, .474, 9.4, 26.4, .208,  loss
BOS, .474, 9.4, 26.4, .208, DEN,  .470,  16.9,  29.2,  .286,  win
PHO,  .529,  21.4,  30.8,  .271, CLE, .623, 12.9, 31.3, .173,  loss
CLE, .623, 12.9, 31.3, .173, PHO,  .529,  21.4,  30.8,  .271,  win
PHI,  .518,  15.2,  23.1,  .146, DET, .456, 8.5, 42.0, .297,  loss
DET, .456, 8.5, 42.0, .297, PHI,  .518,  15.2,  23.1,  .146,  win
DAL,  .569,  9.8,  19.5,  .092, GSW, .667, 9.1, 21.2, .235,  loss
GSW, .667, 9.1, 21.2, .235, DAL,  .569,  9.8,  19.5,  .092,  win
OKC,  .582,  10.7,  39.5,  .220, MIN, .583, 7.3, 27.3, .200,  win
MIN, .583, 7.3, 27.3, .200, OKC,  .582,  10.7,  39.5,  .220,  loss
HOU,  .438,  13.5,  24.5,  .479, SAS, .622, 11.6, 30.0, .200,  loss
SAS, .622, 11.6, 30.0, .200, HOU,  .438,  13.5,  24.5,  .479,  win
CHO,  .412,  18.9,  11.6,  .250, UTA, .568, 10.2, 18.9, .123,  loss
UTA, .568, 10.2, 18.9, .123, CHO,  .412,  18.9,  11.6,  .250,  win
ATL,  .440,  13.2,  11.4,  .229, IND, .545, 14.9, 27.0, .333,  loss
IND, .545, 14.9, 27.0, .333, ATL,  .440,  13.2,  11.4,  .229,  win
CHI,  .526,  8.9,  28.6,  .147, LAL, .429, 12.8, 22.0, .212,  win
LAL, .429, 12.8, 22.0, .212, CHI,  .526,  8.9,  28.6,  .147,  loss
MIL,  .373,  13.3,  36.4,  .304, MEM, .538, 11.0, 23.1, .213,  loss
MEM, .538, 11.0, 23.1, .213, MIL,  .373,  13.3,  36.4,  .304,  win
SAC,  .506,  11.7,  10.3,  .169, NOP, .490, 11.4, 25.0, .184,  loss
NOP, .490, 11.4, 25.0, .184, SAC,  .506,  11.7,  10.3,  .169,  win
NYK,  .477,  8.6,  25.5,  .115, TOR, .482, 9.3, 34.9, .247,  loss
TOR, .482, 9.3, 34.9, .247, NYK,  .477,  8.6,  25.5,  .115,  win
DEN,  .562,  13.6,  19.4,  .321, WAS, .506, 12.2, 27.3, .273,  win
WAS, .506, 12.2, 27.3, .273, DEN,  .562,  13.6,  19.4,  .321,  loss
ORL,  .449,  14.8,  19.1,  .291, BOS, .558, 11.2, 20.0, .198,  loss
BOS, .558, 11.2, 20.0, .198, ORL,  .449,  14.8,  19.1,  .291,  win
BRK,  .385,  10.2,  20.4,  .244, DAL, .513, 12.2, 22.7, .113,  loss
DAL, .513, 12.2, 22.7, .113, BRK,  .385,  10.2,  20.4,  .244,  win
CLE,  .524,  6.8,  25.0,  .325, DET, .518, 8.6, 19.6, .226,  win
DET, .518, 8.6, 19.6, .226, CLE,  .524,  6.8,  25.0,  .325,  loss
LAL,  .468,  16.0,  25.0,  .256, LAC, .543, 8.0, 11.9, .210,  loss
LAC, .543, 8.0, 11.9, .210, LAL,  .468,  16.0,  25.0,  .256,  win
MIA,  .547,  16.2,  22.9,  .351, MIL, .488, 17.1, 33.3, .313,  win
MIL, .488, 17.1, 33.3, .313, MIA,  .547,  16.2,  22.9,  .351,  loss
PHO,  .453,  15.1,  23.5,  .082, NYK, .470, 7.7, 22.2, .274,  loss
NYK, .470, 7.7, 22.2, .274, PHO,  .453,  15.1,  23.5,  .082,  win
HOU,  .426,  8.1,  19.3,  .284, OKC, .523, 15.4, 27.5, .302,  loss
OKC, .523, 15.4, 27.5, .302, HOU,  .426,  8.1,  19.3,  .284,  win
CHO,  .450,  14.8,  26.9,  .238, POR, .527, 10.0, 28.3, .130,  loss
POR, .527, 10.0, 28.3, .130, CHO,  .450,  14.8,  26.9,  .238,  win
MIN,  .480,  13.9,  30.2,  .240, UTA, .592, 13.5, 28.6, .171,  loss
UTA, .592, 13.5, 28.6, .171, MIN,  .480,  13.9,  30.2,  .240,  win
SAS,  .531,  6.2,  19.5,  .210, CLE, .604, 9.0, 29.4, .220,  loss
CLE, .604, 9.0, 29.4, .220, SAS,  .531,  6.2,  19.5,  .210,  win
WAS,  .587,  10.8,  20.6,  .256, HOU, .576, 9.0, 20.8, .267,  win
HOU, .576, 9.0, 20.8, .267, WAS,  .587,  10.8,  20.6,  .256,  loss
DEN,  .483,  16.2,  18.6,  .241, IND, .485, 12.3, 27.5, .120,  loss
IND, .485, 12.3, 27.5, .120, DEN,  .483,  16.2,  18.6,  .241,  win
SAC,  .462,  14.9,  37.5,  .348, MEM, .570, 12.0, 5.7, .392,  loss
MEM, .570, 12.0, 5.7, .392, SAC,  .462,  14.9,  37.5,  .348,  win
BRK,  .530,  9.6,  22.7,  .167, NOP, .522, 8.5, 29.2, .086,  loss
NOP, .522, 8.5, 29.2, .086, BRK,  .530,  9.6,  22.7,  .167,  win
GSW,  .563,  19.3,  27.3,  .011, PHI, .511, 9.0, 15.1, .120,  win
PHI, .511, 9.0, 15.1, .120, GSW,  .563,  19.3,  27.3,  .011,  loss
DET,  .500,  9.7,  23.8,  .230, TOR, .487, 11.6, 31.0, .449,  loss
TOR, .487, 11.6, 31.0, .449, DET,  .500,  9.7,  23.8,  .230,  win
PHO,  .399,  18.3,  27.5,  .257, DAL, .449, 13.7, 28.3, .269,  loss
DAL, .449, 13.7, 28.3, .269, PHO,  .399,  18.3,  27.5,  .257,  win
CHI,  .457,  8.4,  22.0,  .086, LAC, .637, 10.6, 18.4, .155,  loss
LAC, .637, 10.6, 18.4, .155, CHI,  .457,  8.4,  22.0,  .086,  win
CHO,  .443,  8.5,  26.9,  .167, LAL, .388, 14.3, 8.2, .250,  win
LAL, .388, 14.3, 8.2, .250, CHO,  .443,  8.5,  26.9,  .167,  loss
ATL,  .421,  16.8,  5.1,  .400, MIA, .512, 16.3, 25.6, .272,  loss
MIA, .512, 16.3, 25.6, .272, ATL,  .421,  16.8,  5.1,  .400,  win
GSW,  .685,  17.8,  9.4,  .219, NYK, .400, 9.8, 22.6, .256,  win
NYK, .400, 9.8, 22.6, .256, GSW,  .685,  17.8,  9.4,  .219,  loss
BOS,  .505,  8.8,  25.5,  .215, ORL, .598, 13.3, 30.0, .256,  loss
ORL, .598, 13.3, 30.0, .256, BOS,  .505,  8.8,  25.5,  .215,  win
MIN,  .463,  14.8,  34.1,  .238, POR, .461, 12.7, 19.0, .342,  loss
POR, .461, 12.7, 19.0, .342, MIN,  .463,  14.8,  34.1,  .238,  win
DAL,  .406,  5.6,  18.2,  .329, ATL, .613, 14.5, 15.6, .175,  loss
ATL, .613, 14.5, 15.6, .175, DAL,  .406,  5.6,  18.2,  .329,  win
DET,  .480,  7.9,  37.3,  .112, BRK, .530, 11.0, 18.9, .159,  win
BRK, .530, 11.0, 18.9, .159, DET,  .480,  7.9,  37.3,  .112,  loss
TOR,  .423,  11.2,  17.6,  .346, DEN, .602, 17.5, 21.2, .145,  loss
DEN, .602, 17.5, 21.2, .145, TOR,  .423,  11.2,  17.6,  .346,  win
CLE,  .540,  14.0,  27.0,  .182, IND, .465, 13.0, 32.7, .119,  win
IND, .465, 13.0, 32.7, .119, CLE,  .540,  14.0,  27.0,  .182,  loss
MEM,  .669,  15.1,  11.5,  .211, NOP, .466, 8.5, 27.5, .148,  win
NOP, .466, 8.5, 27.5, .148, MEM,  .669,  15.1,  11.5,  .211,  loss
WAS,  .506,  12.3,  4.9,  .128, OKC, .560, 15.9, 35.9, .253,  loss
OKC, .560, 15.9, 35.9, .253, WAS,  .506,  12.3,  4.9,  .128,  win
MIL,  .548,  14.1,  22.2,  .143, SAC, .506, 13.9, 40.0, .279,  loss
SAC, .506, 13.9, 40.0, .279, MIL,  .548,  14.1,  22.2,  .143,  win
ORL,  .432,  13.7,  33.9,  .094, SAS, .571, 13.0, 13.5, .231,  loss
SAS, .571, 13.0, 13.5, .231, ORL,  .432,  13.7,  33.9,  .094,  win
CHI,  .461,  12.4,  16.7,  .144, UTA, .488, 12.3, 22.7, .259,  loss
UTA, .488, 12.3, 22.7, .259, CHI,  .461,  12.4,  16.7,  .144,  win
MIA,  .482,  14.9,  29.5,  .235, HOU, .619, 10.8, 7.3, .131,  loss
HOU, .619, 10.8, 7.3, .131, MIA,  .482,  14.9,  29.5,  .235,  win
MIN,  .600,  14.2,  25.0,  .238, LAL, .575, 8.6, 21.9, .338,  loss
LAL, .575, 8.6, 21.9, .338, MIN,  .600,  14.2,  25.0,  .238,  win
BOS,  .461,  9.3,  26.1,  .156, NYK, .415, 14.5, 32.7, .256,  win
NYK, .415, 14.5, 32.7, .256, BOS,  .461,  9.3,  26.1,  .156,  loss
TOR,  .534,  12.0,  21.1,  .338, PHO, .544, 15.7, 22.9, .139,  win
PHO, .544, 15.7, 22.9, .139, TOR,  .534,  12.0,  21.1,  .338,  loss
MIL,  .471,  11.9,  23.5,  .163, POR, .524, 13.5, 24.4, .212,  loss
POR, .524, 13.5, 24.4, .212, MIL,  .471,  11.9,  23.5,  .163,  win
DET,  .441,  14.1,  17.3,  .235, BOS, .474, 9.0, 13.3, .115,  loss
BOS, .474, 9.0, 13.3, .115, DET,  .441,  14.1,  17.3,  .235,  win
IND,  .568,  13.6,  24.4,  .159, BRK, .488, 14.5, 20.9, .259,  win
BRK, .488, 14.5, 20.9, .259, IND,  .568,  13.6,  24.4,  .159,  loss
CLE,  .518,  7.3,  7.3,  .133, CHO, .551, 13.6, 30.6, .241,  loss
CHO, .551, 13.6, 30.6, .241, CLE,  .518,  7.3,  7.3,  .133,  win
MIA,  .432,  6.7,  22.4,  .193, DAL, .437, 4.0, 15.7, .161,  win
DAL, .437, 4.0, 15.7, .161, MIA,  .432,  6.7,  22.4,  .193,  loss
MIN,  .558,  14.5,  29.4,  .286, LAC, .513, 12.6, 25.6, .333,  win
LAC, .513, 12.6, 25.6, .333, MIN,  .558,  14.5,  29.4,  .286,  loss
ORL,  .547,  8.2,  27.9,  .105, OKC, .522, 11.1, 41.3, .215,  loss
OKC, .522, 11.1, 41.3, .215, ORL,  .547,  8.2,  27.9,  .105,  win
ATL,  .576,  14.9,  25.6,  .196, PHI, .452, 20.3, 12.8, .119,  win
PHI, .452, 20.3, 12.8, .119, ATL,  .576,  14.9,  25.6,  .196,  loss
CHI,  .517,  14.9,  21.7,  .182, SAC, .511, 14.2, 18.8, .136,  win
SAC, .511, 14.2, 18.8, .136, CHI,  .517,  14.9,  21.7,  .182,  loss
NOP,  .472,  14.3,  25.6,  .133, SAS, .574, 13.6, 10.5, .210,  loss
SAS, .574, 13.6, 10.5, .210, NOP,  .472,  14.3,  25.6,  .133,  win
DEN,  .400,  14.2,  23.1,  .357, UTA, .480, 14.5, 20.0, .189,  loss
UTA, .480, 14.5, 20.0, .189, DEN,  .400,  14.2,  23.1,  .357,  win
GSW,  .634,  14.5,  24.4,  .172, WAS, .549, 11.1, 9.5, .231,  win
WAS, .549, 11.1, 9.5, .231, GSW,  .634,  14.5,  24.4,  .172,  loss
NYK,  .464,  8.3,  17.4,  .321, DET, .563, 12.2, 10.3, .278,  loss
DET, .563, 12.2, 10.3, .278, NYK,  .464,  8.3,  17.4,  .321,  win
LAL,  .525,  15.1,  21.4,  .173, NOP, .482, 6.8, 15.2, .165,  win
NOP, .482, 6.8, 15.2, .165, LAL,  .525,  15.1,  21.4,  .173,  loss
HOU,  .517,  13.8,  33.3,  .256, PHO, .452, 19.8, 36.7, .361,  win
PHO, .452, 19.8, 36.7, .361, HOU,  .517,  13.8,  33.3,  .256,  loss
TOR,  .541,  12.7,  28.6,  .212, POR, .531, 13.3, 23.3, .210,  win
POR, .531, 13.3, 23.3, .210, TOR,  .541,  12.7,  28.6,  .212,  loss
IND,  .489,  16.7,  39.6,  .077, ATL, .579, 15.0, 8.1, .184,  loss
ATL, .579, 15.0, 8.1, .184, IND,  .489,  16.7,  39.6,  .077,  win
SAC,  .551,  10.0,  12.5,  .236, BRK, .663, 18.5, 29.7, .163,  loss
BRK, .663, 18.5, 29.7, .163, SAC,  .551,  10.0,  12.5,  .236,  win
MIA,  .457,  7.3,  17.4,  .128, CHO, .506, 12.0, 7.0, .160,  win
CHO, .506, 12.0, 7.0, .160, MIA,  .457,  7.3,  17.4,  .128,  loss
BOS,  .472,  13.2,  25.6,  .239, CLE, .471, 12.0, 28.3, .241,  win
CLE, .471, 12.0, 28.3, .241, BOS,  .472,  13.2,  25.6,  .239,  loss
SAS,  .588,  12.5,  20.5,  .275, DAL, .473, 15.0, 12.8, .288,  win
DAL, .473, 15.0, 12.8, .288, SAS,  .588,  12.5,  20.5,  .275,  loss
CHI,  .489,  8.7,  23.9,  .204, DEN, .483, 8.6, 31.0, .356,  loss
DEN, .483, 8.6, 31.0, .356, CHI,  .489,  8.7,  23.9,  .204,  win
MEM,  .461,  9.4,  10.8,  .276, NYK, .438, 13.8, 29.8, .188,  win
NYK, .438, 13.8, 29.8, .188, MEM,  .461,  9.4,  10.8,  .276,  loss
LAC,  .595,  20.7,  17.6,  .257, ORL, .444, 16.2, 22.4, .259,  win
ORL, .444, 16.2, 22.4, .259, LAC,  .595,  20.7,  17.6,  .257,  loss
MIL,  .472,  20.0,  17.5,  .197, UTA, .442, 14.7, 26.1, .208,  loss
UTA, .442, 14.7, 26.1, .208, MIL,  .472,  20.0,  17.5,  .197,  win
PHI,  .477,  13.9,  14.0,  .126, WAS, .560, 12.3, 22.0, .143,  loss
WAS, .560, 12.3, 22.0, .143, PHI,  .477,  13.9,  14.0,  .126,  win
WAS,  .494,  10.2,  18.2,  .221, CHO, .543, 14.0, 16.3, .247,  loss
CHO, .543, 14.0, 16.3, .247, WAS,  .494,  10.2,  18.2,  .221,  win
NOP,  .420,  7.8,  25.0,  .126, CLE, .511, 11.4, 25.6, .078,  loss
CLE, .511, 11.4, 25.6, .078, NOP,  .420,  7.8,  25.0,  .126,  win
OKC,  .465,  12.9,  26.7,  .341, GSW, .531, 8.6, 25.5, .134,  loss
GSW, .531, 8.6, 25.5, .134, OKC,  .465,  12.9,  26.7,  .341,  win
POR,  .466,  17.8,  39.2,  .172, HOU, .370, 20.3, 26.1, .286,  win
HOU, .370, 20.3, 26.1, .286, POR,  .466,  17.8,  39.2,  .172,  loss
DET,  .557,  13.1,  25.0,  .203, IND, .579, 15.3, 22.9, .316,  loss
IND, .579, 15.3, 22.9, .316, DET,  .557,  13.1,  25.0,  .203,  win
DAL,  .517,  4.7,  17.0,  .261, MEM, .551, 10.1, 17.5, .148,  win
MEM, .551, 10.1, 17.5, .148, DAL,  .517,  4.7,  17.0,  .261,  loss
CHI,  .518,  10.5,  22.5,  .200, MIN, .523, 8.5, 38.9, .241,  loss
MIN, .523, 8.5, 38.9, .241, CHI,  .518,  10.5,  22.5,  .200,  win
BRK,  .493,  17.9,  23.7,  .303, PHI, .531, 13.4, 32.5, .210,  loss
PHI, .531, 13.4, 32.5, .210, BRK,  .493,  17.9,  23.7,  .303,  win
UTA,  .468,  8.9,  27.0,  .321, PHO, .431, 9.9, 26.1, .250,  win
PHO, .431, 9.9, 26.1, .250, UTA,  .468,  8.9,  27.0,  .321,  loss
LAL,  .453,  7.6,  26.5,  .279, SAS, .489, 9.2, 31.3, .227,  loss
SAS, .489, 9.2, 31.3, .227, LAL,  .453,  7.6,  26.5,  .279,  win
SAC,  .547,  11.9,  15.9,  .158, BOS, .632, 19.7, 32.4, .143,  loss
BOS, .632, 19.7, 32.4, .143, SAC,  .547,  11.9,  15.9,  .158,  win
LAC,  .512,  5.9,  14.9,  .210, MIA, .440, 12.0, 27.1, .241,  win
MIA, .440, 12.0, 27.1, .241, LAC,  .512,  5.9,  14.9,  .210,  loss
DEN,  .459,  6.6,  23.4,  .256, NYK, .488, 9.7, 21.3, .167,  win
NYK, .488, 9.7, 21.3, .167, DEN,  .459,  6.6,  23.4,  .256,  loss
ATL,  .456,  14.1,  34.0,  .121, ORL, .500, 16.6, 20.0, .129,  loss
ORL, .500, 16.6, 20.0, .129, ATL,  .456,  14.1,  34.0,  .121,  win
ORL,  .543,  11.2,  13.3,  .172, ATL, .533, 12.2, 16.3, .130,  win
ATL, .533, 12.2, 16.3, .130, ORL,  .543,  11.2,  13.3,  .172,  loss
DEN,  .517,  11.1,  27.9,  .122, BRK, .574, 14.6, 21.1, .148,  loss
BRK, .574, 14.6, 21.1, .148, DEN,  .517,  11.1,  27.9,  .122,  win
CHI,  .444,  6.8,  14.8,  .122, CHO, .525, 12.2, 23.3, .300,  loss
CHO, .525, 12.2, 23.3, .300, CHI,  .444,  6.8,  14.8,  .122,  win
SAC,  .494,  15.2,  16.3,  .232, CLE, .564, 12.0, 25.0, .149,  loss
CLE, .564, 12.0, 25.0, .149, SAC,  .494,  15.2,  16.3,  .232,  win
TOR,  .636,  16.2,  6.7,  .200, DET, .500, 15.5, 24.4, .113,  win
DET, .500, 15.5, 24.4, .113, TOR,  .636,  16.2,  6.7,  .200,  loss
LAL,  .355,  10.3,  23.7,  .226, IND, .423, 14.7, 17.8, .295,  loss
IND, .423, 14.7, 17.8, .295, LAL,  .355,  10.3,  23.7,  .226,  win
POR,  .551,  11.7,  19.0,  .157, MEM, .541, 13.7, 14.7, .151,  win
MEM, .541, 13.7, 14.7, .151, POR,  .551,  11.7,  19.0,  .157,  loss
NOP,  .536,  3.6,  18.8,  .124, MIN, .457, 11.1, 25.6, .346,  win
MIN, .457, 11.1, 25.6, .346, NOP,  .536,  3.6,  18.8,  .124,  loss
LAC,  .395,  9.9,  24.6,  .242, PHI, .411, 16.8, 22.4, .200,  win
PHI, .411, 16.8, 22.4, .200, LAC,  .395,  9.9,  24.6,  .242,  loss
OKC,  .582,  12.5,  34.1,  .271, PHO, .514, 15.9, 27.3, .425,  win
PHO, .514, 15.9, 27.3, .425, OKC,  .582,  12.5,  34.1,  .271,  loss
UTA,  .554,  8.8,  30.2,  .207, DAL, .553, 10.6, 16.2, .480,  win
DAL, .553, 10.6, 16.2, .480, UTA,  .554,  8.8,  30.2,  .207,  loss
HOU,  .500,  10.5,  27.1,  .264, GSW, .532, 10.2, 31.8, .245,  loss
GSW, .532, 10.2, 31.8, .245, HOU,  .500,  10.5,  27.1,  .264,  win
SAS,  .562,  9.1,  26.8,  .213, MIA, .600, 17.4, 3.0, .243,  win
MIA, .600, 17.4, 3.0, .243, SAS,  .562,  9.1,  26.8,  .213,  loss
BOS,  .524,  16.0,  32.5,  .274, MIL, .551, 12.5, 26.2, .170,  loss
MIL, .551, 12.5, 26.2, .170, BOS,  .524,  16.0,  32.5,  .274,  win
WAS,  .603,  10.1,  4.9,  .218, NYK, .578, 14.4, 18.9, .145,  win
NYK, .578, 14.4, 18.9, .145, WAS,  .603,  10.1,  4.9,  .218,  loss
LAC,  .588,  11.6,  20.5,  .400, BOS, .563, 8.2, 18.6, .337,  loss
BOS, .563, 8.2, 18.6, .337, LAC,  .588,  11.6,  20.5,  .400,  win
MEM,  .576,  9.9,  27.0,  .116, BRK, .542, 20.1, 24.2, .183,  win
BRK, .542, 20.1, 24.2, .183, MEM,  .576,  9.9,  27.0,  .116,  loss
ATL,  .550,  11.0,  24.4,  .156, CHI, .471, 16.5, 23.9, .105,  win
CHI, .471, 16.5, 23.9, .105, ATL,  .550,  11.0,  24.4,  .156,  loss
