Team, score,  Efg_pct, Turnover_PCT, orb_pct, ft_rate, class
PHI, 95,.556,13.1,22.5,.075, loss
GSW, 128, .672, 16.1, 25.0, .126, win
SAC, 116,.511,8.7,15.2,.239, loss
MIA, 83, .451, 16.0, 31.9, .110, loss
UTA, 98,.613,16.9,17.2,.155, win
CHO, 92, .434, 11.4, 20.0, .241, loss
DEN, 95,.494,13.0,20.5,.247, win
IND, 103, .528, 16.0, 11.4, .089, loss
HOU, 107,.517,18.2,22.7,.169, win
NOP, 111, .440, 11.0, 27.8, .230, loss
LAC, 114,.539,11.9,16.3,.202, win
UTA, 86, .486, 14.9, 19.4, .275, win
LAL, 74,.343,10.3,29.1,.146, loss
BOS, 98, .460, 14.0, 22.9, .193, loss
MEM, 101,.393,17.1,42.9,.417, win
DAL, 93, .506, 13.1, 28.9, .195, win
MIN, 87,.443,15.3,28.2,.215, loss
MIL, 88, .419, 10.6, 31.1, .263, loss
NYK, 100,.506,10.7,30.0,.179, win
CLE, 95, .439, 9.1, 24.1, .178, win
PHI, 85,.494,18.2,15.6,.117, loss
OKC, 110, .553, 17.1, 20.0, .342, loss
POR, 115,.515,13.1,37.0,.120, win
SAS, 106, .561, 11.7, 28.6, .171, win
BRK, 79,.466,16.0,14.3,.151, loss
WAS, 114, .530, 8.0, 27.7, .091, win
CHI, 100,.475,14.7,25.0,.284, loss
MIA, 103, .489, 9.3, 18.4, .154, loss
GSW, 111,.517,8.3,19.1,.256, win
CLE, 110, .500, 8.0, 31.5, .134, win
DAL, 107,.563,15.3,19.4,.228, loss
SAS, 109, .512, 14.9, 26.8, .259, win
DET, 99,.451,10.5,22.4,.187, loss
PHO, 97, .449, 15.1, 32.7, .191, loss
IND, 116,.582,12.3,21.6,.304, win
NOP, 91, .451, 10.2, 25.0, .099, loss
LAL, 95,.402,7.3,22.0,.287, win
HOU, 107, .545, 13.6, 50.0, .299, win
MEM, 91,.507,17.1,35.1,.250, loss
CHI, 101, .482, 15.1, 43.5, .224, loss
MIL, 106,.478,4.5,27.5,.183, win
OKC, 101, .518, 14.8, 19.0, .167, win
MIN, 96,.488,16.5,25.0,.210, loss
BOS, 114, .541, 8.5, 17.5, .244, loss
NYK, 120,.574,10.5,14.6,.333, win
IND, 94, .434, 14.6, 27.1, .165, loss
BOS, 103,.494,16.1,28.6,.156, win
NYK, 104, .489, 11.4, 28.8, .165, loss
BRK, 110,.576,14.0,20.0,.128, win
ATL, 84, .414, 15.1, 12.2, .210, loss
CHO, 107,.518,14.6,26.2,.268, win
GSW, 110, .534, 11.8, 16.3, .182, loss
DEN, 112,.454,11.2,28.9,.379, win
MIN, 104, .513, 18.0, 31.1, .308, loss
HOU, 107,.540,14.9,21.6,.347, win
MIA, 90, .507, 21.7, 13.2, .271, loss
LAC, 104,.484,6.5,18.5,.138, win
DAL, 89, .427, 14.7, 16.3, .232, loss
OKC, 108,.555,16.0,28.3,.207, win
UTA, 85, .461, 14.0, 21.3, .197, loss
POR, 99,.506,12.1,37.8,.114, win
NOP, 109, .500, 6.3, 23.6, .090, win
SAC, 97,.524,16.6,23.8,.107, loss
MIL, 101, .535, 23.7, 32.3, .333, loss
WAS, 106,.524,14.5,19.6,.214, win
LAL, 98, .467, 17.3, 31.4, .156, loss
