Team, score,  Efg_pct, Turnover_PCT, orb_pct, ft_rate, location, ast_PCT, stl_PCT, blk_PCT, class
MIA, 90,.463,12.8,29.3,.171, home, 37.8, 2.4, 6.5, loss
DEN, 78, .407, 11.1, 28.9, .148, away, 72.4, 3.7, 11.3, win
MIN, 74,.404,9.9,19.5,.205, home, 82.1, 6.1, 8.2, loss
DAL, 100, .466, 9.4, 23.4, .218, away, 59.5, 7.5, 9.7, win
NOP, 91,.408,9.0,26.8,.174, home, 64.7, 7.5, 8.5, loss
MEM, 94, .428, 7.4, 18.8, .189, away, 60.0, 9.3, 6.1, loss
OKC, 112,.506,13.3,30.2,.337, home, 52.6, 3.1, 8.7, win
IND, 95, .461, 15.3, 23.1, .329, away, 59.4, 11.9, 12.5, win
ORL, 86,.443,16.4,21.4,.203, home, 53.1, 7.6, 11.1, loss
CHO, 102, .500, 11.9, 19.6, .172, away, 52.6, 9.1, 9.8, loss
PHO, 111,.601,11.8,5.4,.119, home, 61.0, 11.2, 3.4, win
LAC, 109, .572, 10.0, 23.8, .169, away, 57.1, 7.8, 10.0, win
POR, 98,.494,11.9,34.7,.151, home, 55.3, 5.6, 6.7, loss
UTA, 98, .513, 17.2, 25.0, .215, away, 56.8, 8.5, 4.6, loss
SAS, 123,.657,12.4,25.0,.116, home, 65.4, 10.6, 3.3, win
CLE, 121, .607, 9.3, 31.7, .146, away, 33.3, 9.7, 5.8, win
WAS, 115,.645,12.0,13.9,.224, home, 73.8, 7.5, 1.7, loss
BOS, 92, .383, 9.3, 26.3, .173, away, 48.6, 10.9, 4.2, loss
CHI, 101,.463,13.6,25.0,.149, home, 59.0, 4.0, 6.8, win
UTA, 94, .532, 18.2, 25.0, .141, away, 65.8, 9.9, 9.6, loss
HOU, 103,.567,15.6,30.6,.240, home, 38.5, 12.0, 6.0, win
ATL, 126, .603, 13.8, 32.6, .163, away, 73.5, 17.7, 8.8, win
PHI, 98,.483,18.5,29.2,.174, home, 53.8, 8.8, 6.7, loss
LAL, 115, .592, 16.9, 18.2, .329, away, 48.8, 10.1, 6.3, loss
SAC, 118,.588,13.4,27.0,.212, home, 68.1, 8.1, 11.5, win
ORL, 83, .476, 14.1, 29.5, .048, away, 75.8, 8.3, 7.8, win
